dataset,Ts,Te,TP,FN,FP,TPR,FP/TP,ratio
5,0.85,0.25,12,8,19,0.6,1.5830000000000002,0.3076923076923077
5,0.85,0.3,12,8,19,0.6,1.5830000000000002,0.3076923076923077
5,0.85,0.35,12,8,19,0.6,1.5830000000000002,0.3076923076923077
5,0.85,0.4,12,8,20,0.6,1.6669999999999998,0.3
5,0.85,0.45,12,8,21,0.6,1.75,0.2926829268292683
6,0.5,0.1,26,0,67,1.0,2.577,0.27956989247311825
6,0.5,0.15,26,0,73,1.0,2.8080000000000003,0.26262626262626265
6,0.5,0.2,26,0,77,1.0,2.962,0.2524271844660194
6,0.5,0.25,26,0,80,1.0,3.077,0.2452830188679245
6,0.5,0.3,26,0,81,1.0,3.115,0.2429906542056075
6,0.5,0.35,26,0,84,1.0,3.2310000000000003,0.2363636363636364
6,0.5,0.4,26,0,85,1.0,3.269,0.23423423423423426
6,0.5,0.45,26,0,84,1.0,3.2310000000000003,0.2363636363636364
6,0.55,0.1,26,0,63,1.0,2.423,0.2921348314606741
6,0.55,0.15,26,0,69,1.0,2.654,0.2736842105263158
6,0.55,0.2,26,0,73,1.0,2.8080000000000003,0.26262626262626265
6,0.55,0.25,26,0,76,1.0,2.923,0.2549019607843137
6,0.55,0.3,26,0,77,1.0,2.962,0.2524271844660194
6,0.55,0.35,26,0,81,1.0,3.115,0.2429906542056075
6,0.55,0.4,26,0,80,1.0,3.077,0.2452830188679245
6,0.55,0.45,26,0,79,1.0,3.0380000000000003,0.2476190476190477
6,0.6,0.1,26,0,60,1.0,2.3080000000000003,0.3023255813953488
6,0.6,0.15,26,0,65,1.0,2.5,0.2857142857142857
6,0.6,0.2,26,0,69,1.0,2.654,0.2736842105263158
6,0.6,0.25,26,0,73,1.0,2.8080000000000003,0.26262626262626265
6,0.6,0.3,26,0,75,1.0,2.885,0.25742574257425743
6,0.6,0.35,26,0,77,1.0,2.962,0.2524271844660194
6,0.6,0.4,26,0,78,1.0,3.0,0.25
6,0.6,0.45,26,0,78,1.0,3.0,0.25
6,0.65,0.1,26,0,55,1.0,2.115,0.32098765432098764
6,0.65,0.15,26,0,62,1.0,2.385,0.2954545454545455
6,0.65,0.2,26,0,65,1.0,2.5,0.2857142857142857
6,0.65,0.25,26,0,70,1.0,2.692,0.2708333333333333
6,0.65,0.3,26,0,72,1.0,2.769,0.2653061224489796
6,0.65,0.35,26,0,73,1.0,2.8080000000000003,0.26262626262626265
6,0.65,0.4,26,0,73,1.0,2.8080000000000003,0.26262626262626265
6,0.65,0.45,26,0,71,1.0,2.7310000000000003,0.26804123711340205
6,0.7,0.1,26,0,47,1.0,1.808,0.3561643835616438
6,0.7,0.15,26,0,56,1.0,2.154,0.3170731707317073
6,0.7,0.2,26,0,58,1.0,2.231,0.30952380952380953
6,0.7,0.25,26,0,59,1.0,2.269,0.3058823529411765
6,0.7,0.3,26,0,61,1.0,2.346,0.2988505747126437
6,0.7,0.35,26,0,63,1.0,2.423,0.2921348314606741
6,0.7,0.4,26,0,62,1.0,2.385,0.2954545454545455
6,0.7,0.45,26,0,61,1.0,2.346,0.2988505747126437
6,0.75,0.1,26,0,42,1.0,1.615,0.38235294117647056
6,0.75,0.15,26,0,47,1.0,1.808,0.3561643835616438
6,0.75,0.2,26,0,49,1.0,1.885,0.3466666666666667
6,0.75,0.25,26,0,51,1.0,1.962,0.3376623376623377
6,0.75,0.3,25,1,55,0.962,2.2,0.30864197530864196
6,0.75,0.35,25,1,58,0.962,2.32,0.2976190476190476
6,0.75,0.4,25,1,58,0.962,2.32,0.2976190476190476
6,0.75,0.45,25,1,58,0.962,2.32,0.2976190476190476
6,0.8,0.1,25,1,42,0.962,1.68,0.36764705882352944
6,0.8,0.15,25,1,45,0.962,1.8,0.35211267605633795
6,0.8,0.2,25,1,47,0.962,1.88,0.3424657534246575
6,0.8,0.25,25,1,47,0.962,1.88,0.3424657534246575
6,0.8,0.3,24,2,50,0.923,2.083,0.3157894736842105
6,0.8,0.35,24,2,50,0.923,2.083,0.3157894736842105
6,0.8,0.4,24,2,50,0.923,2.083,0.3157894736842105
6,0.8,0.45,24,2,50,0.923,2.083,0.3157894736842105
6,0.85,0.1,24,2,35,0.923,1.4580000000000002,0.3934426229508197
6,0.85,0.15,24,2,37,0.923,1.5419999999999998,0.3809523809523809
6,0.85,0.2,24,2,38,0.923,1.5830000000000002,0.375
6,0.85,0.25,24,2,39,0.923,1.625,0.3692307692307693
6,0.85,0.3,23,3,41,0.885,1.783,0.34328358208955223
6,0.85,0.35,23,3,41,0.885,1.783,0.34328358208955223
6,0.85,0.4,23,3,41,0.885,1.783,0.34328358208955223
6,0.85,0.45,23,3,42,0.885,1.826,0.3382352941176471
7,0.5,0.1,18,4,36,0.818,2.0,0.3103448275862069
7,0.5,0.15,19,3,44,0.8640000000000001,2.316,0.2878787878787879
7,0.5,0.2,19,3,52,0.8640000000000001,2.737,0.25675675675675674
